"centre","count","location","lon","lat"
"BLK 105 HOUGANG AVENUE 1",15,"BLK 105 HOUGANG AVENUE 1, Singapore",103.8905523,1.3535937
"BLK 13 HAIG ROAD",9,"BLK 13 HAIG ROAD, Singapore",103.8955747,1.3151217
"BLK 209 HOUGANG STREET 21",3,"BLK 209 HOUGANG STREET 21, Singapore",103.886095,1.359092
"BLK 21 MARSILING LANE",10,"BLK 21 MARSILING LANE, Singapore",103.7777628,1.444247
"BLK 210TOA PAYOH LORONG 8",1,"BLK 210TOA PAYOH LORONG 8, Singapore",103.854377,1.3402461
"BLK 22 LORONG 7 TOA PAYOH",1,"BLK 22 LORONG 7 TOA PAYOH, Singapore",103.8570169,1.3354642
"BLK 22 LORONG 7 TOA PAYOH LORONG 7",1,"BLK 22 LORONG 7 TOA PAYOH LORONG 7, Singapore",103.8570775,1.3355152
"BLK 221A BOON LAY",1,"BLK 221A BOON LAY, Singapore",103.712825,1.34522
"BLK 221A BOON LAY PLACE",8,"BLK 221A BOON LAY PLACE, Singapore",103.712825,1.34522
"BLK 226D ANG MO KIO AVENUE1",1,"BLK 226D ANG MO KIO AVENUE1, Singapore",103.839176,1.366795
"BLK 448 CLEMENTI AVENUE 3",4,"BLK 448 CLEMENTI AVENUE 3, Singapore",103.764506,1.313218
"BLK 448 CLEMENTI AVENUE 4",1,"BLK 448 CLEMENTI AVENUE 4, Singapore",103.7660716,1.3181133
"BLK 50A MARINE TERRACE",8,"BLK 50A MARINE TERRACE, Singapore",103.9160194,1.3057202
"BLK 511 BEDOK NORTH STREET 3",1,"BLK 511 BEDOK NORTH STREET 3, Singapore",103.9306094,1.3332609
"BLK 527 ANG MO KIO AVENUE 10",17,"BLK 527 ANG MO KIO AVENUE 10, Singapore",103.8543059,1.3727609
"BLK 630 BEDOK RESERVOIR ROAD",19,"BLK 630 BEDOK RESERVOIR ROAD, Singapore",103.91412,1.332925
"BLK 724 ANG MO KIO AVENUE",1,"BLK 724 ANG MO KIO AVENUE, Singapore",103.8466781,1.3721212
"BLK 82 TELOK BLANGAH DRIVE",17,"BLK 82 TELOK BLANGAH DRIVE, Singapore",103.807777,1.273787
